Hummer_Winblad_Venture_Partners,Lightspeed_Venture_Partners,Morgenthaler_Ventures
Andreessen_Horowitz,Founder_Collective,Gunderson_Dettmer,Idealab,Miramar_Venture_Partners,Auren_Hoffman,Danny_Rimer,Esther_Dyson,Lee_And_June_Stein,Mårten_Mickos,Richard_Rosenblatt,Scott_Kurnit,Thomas_D._Lehrman,Tom_Unterman
CRV,Flybridge_Capital_Partners,Polaris_Partners
General_Catalyst_Partners,Longworth_Venture_Partners,SoftBank_Capital
Daiwa_SMBC_Capital,DCM,DoCoMo_Capital,Investment_Arm,SoftBank
Alchemist_Accelerator,Chris_Maeda,David_Gutelius,Mark_Organ,Paul_Albright,Russell_Siegelman,Ryan_Holmes,Scott_Kleper,Steve_King,Tim_Kopp,Venkat_Rangan
Kima_Ventures,Eric_Dunn,Fabrice_Grinda,Oleg_Tscheltzoff
Advent_Venture_Partners,e.ventures,Index_Ventures
Global_Venture_Capital,Polaris_Partners,Mitchell_Kapor
Benchmark,BlackRock,Dragoneer_Investment_Group,Index_Ventures,Passport_Capital,Tenaya_Capital,Yahoo!
Cycad_Group,Momentum_Bioscience,Novartis_Venture_Fund
Ampersand_Capital_Partners,Bessemer_Venture_Partners,Venrock
Carlos_Roda,Nacho_Somalo,Private_Investors
Andreessen_Horowitz,Highland_Capital_Partners,Ignition_Partners,Intel_Capital
BioGenerator,St._Louis_Arch_Angels,Warson_Capital_Partners
BDC_Venture_Capital,Innovacom,Skypoint_Capital,Vesbridge_Partners
CrunchFund,Greylock_Partners,InterWest_Partners,Javelin_Venture_Partners,Quest_Venture_Partners,Barney_Pell,Lorenzo_Thione,Matt_Ocko,Roger_Dickey,Steve_Newcomb
Capital_Group,Compass_Technology_Partners,Deutsche_Bank,Digital_Century_Capital,Goldman_Sachs,Hikari_Tsushin_Group,Madison_Dearborn_Partners,Qualcomm_Ventures,Sequoia_Capital,SingTel,TAMC,Temasek_Holdings,Vertex,Elon_Musk
TEEC_Angel_Fund,Wasabi_Ventures,Chris_Yeh
Andreessen_Horowitz,Cane_Investments_LLC,CrunchFund,FF_Angel_LLC,Ellen_Levy,Ken_Seiff,Marissa_Mayer,Tony_Hsieh
Alliance_Venture,DMC_Stratex_Networks,Mitsubishi_Motors,Oki_Electric_Industry_Company,Ridgewood_Capital,Satwik_Capital_Advisors,Tyco_Ventures
Balderton_Capital,Episode_1,Samos_Investments
Andreessen_Horowitz,Digital_Garage,Draper_Fisher_Jurvetson_(DFJ),Felicis_Ventures,First_Round,FundersClub,General_Catalyst_Partners,GVA,Intel_Capital,Netprice_Partners,Plug_&_Play_Ventures,Spark_Capital,SV_Angel,Western_Technology_Investment,Y_Combinator,Aaron_Levie,Adam_Draper,Chris_Dixon,Dan_Rose,Farzad_(Zod)_Nazem,Jack_Abraham,Kevin_Henrikson,Michael_Saunders,Pejman_Nozad,Tim_Draper
500_Startups,SierraMaya360,VegasTechFund
Alloy_Ventures,Palomar_Ventures,The_Roda_Group
Foundation_Capital,Index_Ventures,Partech_Ventures,Union_Square_Ventures,Scott_Bommer
Dolby_Family_Ventures,Fuel_Capital,VegasTechFund,Y_Combinator,Alexis_Ohanian,Garry_Tan,Tony_Hsieh
3i_Group,Amadeus_Capital_Partners,Cambridge_Business_Angels,Cambridge_Capital_Group,NW_Brown_Ventures
Advanced_Technology_Ventures,CRV,Nth_Power
Beth_Lacey,Brian_Kleinberg,Brian_Weinberg,Georges-Henri_Levy,Josh_Burwick,Ketty_Maisonrouge,Kevin_Quinn
Apex_Venture_Partners,New_Enterprise_Associates,NGEN_Partners
DoCoMo_Capital,Granite_Ventures,InterWest_Partners,TDF_Ventures
DoCoMo_Capital,Recruit_Strategic_Partners,WPP_Ventures,Ben_Horowitz,Marc_Andreessen
Innoven_Partners,Medicis_Capital,Natixis_Private_Equity,Ventech
Blank_Slate_Ventures,Chattanooga_Renaissance_Fund,Solidus_Company
Baseline_Ventures,First_Round,FLOODGATE,Keith_Rabois,Mark_Pincus
Accel_Partners,B7inc,Columbus_Nova_Technology_Partners,New_Enterprise_Associates,Razor's_Edge_Ventures
iD_TechVentures,Intel_Capital,JAFCO_Asia,New_Enterprise_Associates,Redpoint_Ventures,Venrock
Fortune_Venture_Capital,OFC,Shenzhen_Capital_Group
International_Securities_Exchange_Holdings,Knight_Capital_Group,Morgan_Stanley,Susquehanna_Growth_Equity
Armstrong_Group_and_Associated_Partners,Centerpoint_Ventures,Novak_Biddle_Venture_Partners,Novitas_Capital,ZG_Ventures
GemVentures,Mercury_Fund,North_Bridge_Venture_Partners
Helion_Venture_Partners,Qualcomm_Ventures,Translink_Capital
Chrysalis_Ventures,Kentucky_Science_and_Technology_corp.,Meritus_Ventures
Rothenberg_Ventures,Telegraph_Hill_Capital,Eric_Kagan
